Raw Pibal
station_id,station_name,data_timestamp,station_elevation,wind_dir_surface,wind_speed_surface,pembacaan,azimuth,elevasi,sandi_pibal,penghentian_pengamatan,observer_name
97340,Stasiun Meteorologi Umbu Mehang Kunda,2026-06-12T12:00:00,456,110,3,19,290.8,23.5,"PPAA 62121 97340
55285 12011 12015 
77999=

PPBB 62121 97340
90/13 11003 11009 12011  
9057/ 12011 10014   
910// 12015=",LIC,Hakim
97340,Stasiun Meteorologi Umbu Mehang Kunda,2026-06-12T12:00:00,456,110,3,20,291.1,23.2,"PPAA 62121 97340
55285 12011 12015 
77999=

PPBB 62121 97340
90/13 11003 11009 12011  
9057/ 12011 10014   
910// 12015=",LIC,Hakim
97340,Stasiun Meteorologi Umbu Mehang Kunda,2026-06-12T12:00:00,456,110,3,21,291.6,22.9,"PPAA 62121 97340
55285 12011 12015 
77999=

PPBB 62121 97340
90/13 11003 11009 12011  
9057/ 12011 10014   
910// 12015=",LIC,Hakim
97340,Stasiun Meteorologi Umbu Mehang Kunda,2025-06-08T00:00:00,456,250,2,1,,,"PPAA 58001 97340
NIL=

PPBB 58001 97340
NIL=",GA,Luqmanul Hakim
97340,Stasiun Meteorologi Umbu Mehang Kunda,2025-05-30T12:00:00,456,0,0,1,9999,9999,"PPAA 80121 97340
NIL=

PPBB 80121 97340
NIL=",GA,Ni Luh Ayu Agnes
97340,Stasiun Meteorologi Umbu Mehang Kunda,2025-05-20T12:00:00,456,160,3,1,9999,9999,"PPAA 70121 97340
NIL=

PPBB 70121 97340
NIL=",GA,Andreas Yoga
97340,Stasiun Meteorologi Umbu Mehang Kunda,2026-08-01T00:00:00,32.8,200,8,1,32,34.6,"PPAA 51001 97340
55285 09015 15013 
77999=

PPBB 51001 97340
90/13 20008 12515 10014  
90578 09015 11015 12018  
909// 11013    
9101/ 15013 16511=",BB,Mohammad Hasyim Hanif
97340,Stasiun Meteorologi Umbu Mehang Kunda,2026-08-01T00:00:00,32.8,200,8,2,351,35.6,"PPAA 51001 97340
55285 09015 15013 
77999=

PPBB 51001 97340
90/13 20008 12515 10014  
90578 09015 11015 12018  
909// 11013    
9101/ 15013 16511=",BB,Mohammad Hasyim Hanif
97340,Stasiun Meteorologi Umbu Mehang Kunda,2026-08-01T00:00:00,32.8,200,8,3,325,28,"PPAA 51001 97340
55285 09015 15013 
77999=

PPBB 51001 97340
90/13 20008 12515 10014  
90578 09015 11015 12018  
909// 11013    
9101/ 15013 16511=",BB,Mohammad Hasyim Hanif
97340,Stasiun Meteorologi Umbu Mehang Kunda,2026-08-01T00:00:00,32.8,200,8,4,316.6,26,"PPAA 51001 97340
55285 09015 15013 
77999=

PPBB 51001 97340
90/13 20008 12515 10014  
90578 09015 11015 12018  
909// 11013    
9101/ 15013 16511=",BB,Mohammad Hasyim Hanif
97340,Stasiun Meteorologi Umbu Mehang Kunda,2026-08-01T00:00:00,32.8,200,8,5,310,24.4,"PPAA 51001 97340
55285 09015 15013 
77999=

PPBB 51001 97340
90/13 20008 12515 10014  
90578 09015 11015 12018  
909// 11013    
9101/ 15013 16511=",BB,Mohammad Hasyim Hanif
97340,Stasiun Meteorologi Umbu Mehang Kunda,2026-08-01T00:00:00,32.8,200,8,6,306.3,24,"PPAA 51001 97340
55285 09015 15013 
77999=

PPBB 51001 97340
90/13 20008 12515 10014  
90578 09015 11015 12018  
909// 11013    
9101/ 15013 16511=",BB,Mohammad Hasyim Hanif
97340,Stasiun Meteorologi Umbu Mehang Kunda,2026-08-01T00:00:00,32.8,200,8,7,301.4,23.6,"PPAA 51001 97340
55285 09015 15013 
77999=

PPBB 51001 97340
90/13 20008 12515 10014  
90578 09015 11015 12018  
909// 11013    
9101/ 15013 16511=",BB,Mohammad Hasyim Hanif
97340,Stasiun Meteorologi Umbu Mehang Kunda,2026-08-01T00:00:00,32.8,200,8,8,295.5,23.2,"PPAA 51001 97340
55285 09015 15013 
77999=

PPBB 51001 97340
90/13 20008 12515 10014  
90578 09015 11015 12018  
909// 11013    
9101/ 15013 16511=",BB,Mohammad Hasyim Hanif
97340,Stasiun Meteorologi Umbu Mehang Kunda,2026-08-01T00:00:00,32.8,200,8,9,291.5,22.8,"PPAA 51001 97340
55285 09015 15013 
77999=

PPBB 51001 97340
90/13 20008 12515 10014  
90578 09015 11015 12018  
909// 11013    
9101/ 15013 16511=",BB,Mohammad Hasyim Hanif
97340,Stasiun Meteorologi Umbu Mehang Kunda,2026-08-01T00:00:00,32.8,200,8,10,287.6,22.5,"PPAA 51001 97340
55285 09015 15013 
77999=

PPBB 51001 97340
90/13 20008 12515 10014  
90578 09015 11015 12018  
909// 11013    
9101/ 15013 16511=",BB,Mohammad Hasyim Hanif
97340,Stasiun Meteorologi Umbu Mehang Kunda,2026-08-01T00:00:00,32.8,200,8,11,285.8,22.1,"PPAA 51001 97340
55285 09015 15013 
77999=

PPBB 51001 97340
90/13 20008 12515 10014  
90578 09015 11015 12018  
909// 11013    
9101/ 15013 16511=",BB,Mohammad Hasyim Hanif
97340,Stasiun Meteorologi Umbu Mehang Kunda,2026-08-01T00:00:00,32.8,200,8,12,283,21.6,"PPAA 51001 97340
55285 09015 15013 
77999=

PPBB 51001 97340
90/13 20008 12515 10014  
90578 09015 11015 12018  
909// 11013    
9101/ 15013 16511=",BB,Mohammad Hasyim Hanif
97340,Stasiun Meteorologi Umbu Mehang Kunda,2026-08-01T00:00:00,32.8,200,8,13,282.2,21.2,"PPAA 51001 97340
55285 09015 15013 
77999=

PPBB 51001 97340
90/13 20008 12515 10014  
90578 09015 11015 12018  
909// 11013    
9101/ 15013 16511=",BB,Mohammad Hasyim Hanif
97340,Stasiun Meteorologi Umbu Mehang Kunda,2026-08-01T00:00:00,32.8,200,8,14,282,21,"PPAA 51001 97340
55285 09015 15013 
77999=

PPBB 51001 97340
90/13 20008 12515 10014  
90578 09015 11015 12018  
909// 11013    
9101/ 15013 16511=",BB,Mohammad Hasyim Hanif
97340,Stasiun Meteorologi Umbu Mehang Kunda,2026-08-01T00:00:00,32.8,200,8,15,282.5,20.8,"PPAA 51001 97340
55285 09015 15013 
77999=

PPBB 51001 97340
90/13 20008 12515 10014  
90578 09015 11015 12018  
909// 11013    
9101/ 15013 16511=",BB,Mohammad Hasyim Hanif
97340,Stasiun Meteorologi Umbu Mehang Kunda,2026-08-01T00:00:00,32.8,200,8,16,283.6,20.4,"PPAA 51001 97340
55285 09015 15013 
77999=

PPBB 51001 97340
90/13 20008 12515 10014  
90578 09015 11015 12018  
909// 11013    
9101/ 15013 16511=",BB,Mohammad Hasyim Hanif
97340,Stasiun Meteorologi Umbu Mehang Kunda,2026-08-01T00:00:00,32.8,200,8,17,285,20.1,"PPAA 51001 97340
55285 09015 15013 
77999=

PPBB 51001 97340
90/13 20008 12515 10014  
90578 09015 11015 12018  
909// 11013    
9101/ 15013 16511=",BB,Mohammad Hasyim Hanif
97340,Stasiun Meteorologi Umbu Mehang Kunda,2026-08-01T00:00:00,32.8,200,8,18,287.5,20.3,"PPAA 51001 97340
55285 09015 15013 
77999=

PPBB 51001 97340
90/13 20008 12515 10014  
90578 09015 11015 12018  
909// 11013    
9101/ 15013 16511=",BB,Mohammad Hasyim Hanif
97340,Stasiun Meteorologi Umbu Mehang Kunda,2026-08-01T00:00:00,32.8,200,8,19,287.6,20.3,"PPAA 51001 97340
55285 09015 15013 
77999=

PPBB 51001 97340
90/13 20008 12515 10014  
90578 09015 11015 12018  
909// 11013    
9101/ 15013 16511=",BB,Mohammad Hasyim Hanif
97340,Stasiun Meteorologi Umbu Mehang Kunda,2026-08-01T00:00:00,32.8,200,8,20,290,21,"PPAA 51001 97340
55285 09015 15013 
77999=

PPBB 51001 97340
90/13 20008 12515 10014  
90578 09015 11015 12018  
909// 11013    
9101/ 15013 16511=",BB,Mohammad Hasyim Hanif
97340,Stasiun Meteorologi Umbu Mehang Kunda,2026-08-01T00:00:00,32.8,200,8,21,292,21.2,"PPAA 51001 97340
55285 09015 15013 
77999=

PPBB 51001 97340
90/13 20008 12515 10014  
90578 09015 11015 12018  
909// 11013    
9101/ 15013 16511=",BB,Mohammad Hasyim Hanif
97340,Stasiun Meteorologi Umbu Mehang Kunda,2026-08-01T00:00:00,32.8,200,8,22,294.3,21.6,"PPAA 51001 97340
55285 09015 15013 
77999=

PPBB 51001 97340
90/13 20008 12515 10014  
90578 09015 11015 12018  
909// 11013    
9101/ 15013 16511=",BB,Mohammad Hasyim Hanif
97340,Stasiun Meteorologi Umbu Mehang Kunda,2026-08-01T00:00:00,32.8,200,8,23,296,22,"PPAA 51001 97340
55285 09015 15013 
77999=

PPBB 51001 97340
90/13 20008 12515 10014  
90578 09015 11015 12018  
909// 11013    
9101/ 15013 16511=",BB,Mohammad Hasyim Hanif
97340,Stasiun Meteorologi Umbu Mehang Kunda,2025-05-08T06:00:00,456,40,9,1,9999,9999,"PPAA 58061 97340
NIL=

PPBB 58061 97340
NIL=",GA,Andreas Yoga
97340,Stasiun Meteorologi Umbu Mehang Kunda,2025-02-26T12:00:00,456,190,5,1,9999,9999,"PPAA 76121 97340
55285 30005 29510 
77999=

PPBB 76121 97340
90/13 19005 03517 01502  
90457 32005 30005 29008  
910// 29510=",LL,Ni Luh Ayu Agnes
97340,Stasiun Meteorologi Umbu Mehang Kunda,2025-02-26T12:00:00,456,190,5,2,197.0,49.5,"PPAA 76121 97340
55285 30005 29510 
77999=

PPBB 76121 97340
90/13 19005 03517 01502  
90457 32005 30005 29008  
910// 29510=",LL,Ni Luh Ayu Agnes
97340,Stasiun Meteorologi Umbu Mehang Kunda,2025-02-26T12:00:00,456,190,5,3,210.0,28.0,"PPAA 76121 97340
55285 30005 29510 
77999=

PPBB 76121 97340
90/13 19005 03517 01502  
90457 32005 30005 29008  
910// 29510=",LL,Ni Luh Ayu Agnes
97340,Stasiun Meteorologi Umbu Mehang Kunda,2025-02-26T12:00:00,456,190,5,4,208.0,27.2,"PPAA 76121 97340
55285 30005 29510 
77999=

PPBB 76121 97340
90/13 19005 03517 01502  
90457 32005 30005 29008  
910// 29510=",LL,Ni Luh Ayu Agnes
97340,Stasiun Meteorologi Umbu Mehang Kunda,2025-02-26T12:00:00,456,190,5,5,207.8,29.5,"PPAA 76121 97340
55285 30005 29510 
77999=

PPBB 76121 97340
90/13 19005 03517 01502  
90457 32005 30005 29008  
910// 29510=",LL,Ni Luh Ayu Agnes
97340,Stasiun Meteorologi Umbu Mehang Kunda,2025-02-26T12:00:00,456,190,5,6,208.0,33.0,"PPAA 76121 97340
55285 30005 29510 
77999=

PPBB 76121 97340
90/13 19005 03517 01502  
90457 32005 30005 29008  
910// 29510=",LL,Ni Luh Ayu Agnes
97340,Stasiun Meteorologi Umbu Mehang Kunda,2025-02-26T12:00:00,456,190,5,7,207.2,36.0,"PPAA 76121 97340
55285 30005 29510 
77999=

PPBB 76121 97340
90/13 19005 03517 01502  
90457 32005 30005 29008  
910// 29510=",LL,Ni Luh Ayu Agnes
97340,Stasiun Meteorologi Umbu Mehang Kunda,2025-02-26T12:00:00,456,190,5,8,200.3,39.0,"PPAA 76121 97340
55285 30005 29510 
77999=

PPBB 76121 97340
90/13 19005 03517 01502  
90457 32005 30005 29008  
910// 29510=",LL,Ni Luh Ayu Agnes
97340,Stasiun Meteorologi Umbu Mehang Kunda,2025-02-26T12:00:00,456,190,5,9,195.3,41.1,"PPAA 76121 97340
55285 30005 29510 
77999=

PPBB 76121 97340
90/13 19005 03517 01502  
90457 32005 30005 29008  
910// 29510=",LL,Ni Luh Ayu Agnes
97340,Stasiun Meteorologi Umbu Mehang Kunda,2025-02-26T12:00:00,456,190,5,10,190.5,43.2,"PPAA 76121 97340
55285 30005 29510 
77999=

PPBB 76121 97340
90/13 19005 03517 01502  
90457 32005 30005 29008  
910// 29510=",LL,Ni Luh Ayu Agnes
